300,1,AASHISH MALLA,kathmandu,986675854,demo70@gmail.com1,2073,1,AAS123
301,2,ADARSHA SUBEDI,kathmandu,986675854,demo70@gmail.com2,2073,1,ADAR123
302,3,ANIL POUDEL,kathmandu,986675854,demo70@gmail.com3,2073,1,A123
303,4,ANISH GHIMIRE,kathmandu,986675854,demo70@gmail.com4,2073,1,ANI123
304,5,ASHISH MAHARJAN,kathmandu,986675854,demo70@gmail.com5,2073,1,ASHIS123
305,6,AVINAYA  ACHARYA,kathmandu,986675854,demo70@gmail.com6,2073,1,AVINAY123
306,7,BINA MAHARJAN,kathmandu,986675854,demo70@gmail.com7,2073,1,BIN123
307,8,BINISH MANANDHAR,kathmandu,986675854,demo70@gmail.com8,2073,1,BINISH123
308,9,BINOD SUBEDI,kathmandu,986675854,demo70@gmail.com9,2073,1,BI123
309,10,BINU GHIMIRE,kathmandu,986675854,demo70@gmail.com10,2073,1,BI123
